3415,Scarborough Town centre,133,Utilized Off Route
3416,Morningside and Finch,133,Utilized Off Route
3417,Scarborough Town Centre,133,Utilized Off Route
3418,Scarborough Town Centre,133,Utilized Off Route
3419,Scarorough Town Centre,38,Utilized Off Route
3420,Scarborough Town Centre,133,Utilized Off Route
3421,Steeles Loop.,927,Utilized Off Route
3422,Yonge and Eglinton,32,Mechanical
3423,caledonia and eglinton,32,Mechanical
3424,Warden Station,9,Mechanical
3425,Scarborough Town Centre,133,Utilized Off Route
3426,Freshmeadow/Don Mills,25,Mechanical
3427,Steeles Loop,927,Utilized Off Route
3428,Yonge and Eglinton,32,Mechanical
3429,Scarborough Town Centre,38,Utilized Off Route
3430,U of T,95,Utilized Off Route
3431,York Mills Station,165,Mechanical
3432,Queen and Lansdowne,47,Mechanical
3433,Keele and Calvington,120,Diversion
3434,Davisville Station,11,Utilized Off Route
3435,Davisville Station,11,Utilized Off Route
3436,Kipling Station,112,Diversion
3437,PIONEER VILLAGE STATION,60,Utilized Off Route
3438,Warden Station,102,Mechanical
3439,Davisville Station,11,Utilized Off Route
3440,Brimley and Eglinton,116,Investigation
3441,Entire Line,161,General Delay
3442,PIONEER VILLAGE STATION,60,Utilized Off Route
3443,PIONEER VILLAGE STATION,60,Mechanical
3444,FINCH STATION,36,Utilized Off Route
3445,Jane and Lawrence,35,Investigation
3446,Lawrence RT station,54,Mechanical
3447,Brimley and Gage,21,Investigation
3448,Neilson and Sheppard,133,Mechanical
3449,Sunnybrook Hospital,11,Utilized Off Route
3450,Carrier Drive,96,Mechanical
3451,eglinton and duncannon,32,Mechanical
3452,Earlscourt Loop,47,Mechanical
3453,Weston Road / Lawrence,52,Mechanical
3454,Finch Station,60,Utilized Off Route
3455,Warden and Huntingwood,85,Diversion
3456,on Steeles Loop at Martin Grove,60,Late Leaving Garage - Management
3457,Finch Station,36,Utilized Off Route
3458,Highway 427 & Holliday In drive,900,Mechanical
3459,Grantbrook and Charlton,98,Diversion
3460,Meadowvale Loop,86,Investigation
3461,Sheppard and Kennedy,85,Emergency Services
3462,Weston Rd & Annette,89,Investigation
3463,Pape Station,25,Utilized Off Route
3464,Wilson and Yonge Blvd,96,Mechanical
3465,Dundas west Station,168,Mechanical
3466,Lawrence Station,52,Mechanical
3467,Scarborough Town Centre,38,Mechanical
3468,580 Commissioners,83,Emergency Services
3469,Yonge Street/Sheldrake Blvd,320,Investigation
3470,High park,89,Late Leaving Garage - Mechanical
3471,Steeles Loop at Yonge Street,320,Late Leaving Garage - Mechanical
3472,St. Clair/Dufferin,29,Diversion
3473,Swells and Littles,39,Late Leaving Garage - Mechanical
3474,Yonge St/Bloor St,320,Investigation
3475,Exhibition Loop,307,Vision
3476,Oakwood Loop,63,Utilized Off Route
3477,Warden Station,102,Mechanical
3478,Terminal 3,900,Late Leaving Garage - Mechanical
3479,Eglinton/Wyncott,32,Mechanical
3480,Victoria Park and St Clair,324,Investigation
3481,Avon Loop,168,Mechanical
3482,EGLINTON STATION,34,Late Leaving Garage - Mechanical
3483,Queens Quay/Lower Jarvis,75,Investigation
3484,Sheppard West Station,106,Utilized Off Route
3485,FRESHMEADOW/DON MILLS,51,Late Leaving Garage - Mechanical
3486,Morningside and Finch,133,Utilized Off Route
3487,Kipling Station,927,Mechanical
3488,Kennedy stn,20,Mechanical
3489,Pionner Village Station,60,Mechanical
3490,Royal York Station,76,Emergency Services
3491,Morningside and Finch,133,Utilized Off Route
3492,Kennedy station,21,Mechanical
3493,Sherway Gardens,15,Mechanical
3494,Sheppard and Progress,134,Mechanical
3495,Finch/ Middlefield,130,Mechanical
3496,Sheppard West Stn,108,Mechanical
3497,Bathurst and Antibes,125,Late Leaving Garage - Mechanical
3498,Lawerence and Markham,102,Mechanical
3499,Scarborough Town Centre,38,Utilized Off Route
3500,Markham and Ellesmere rd,95,Mechanical
3501,Albion and Weston,89,Emergency Services
3502,Davisville Station,11,Utilized Off Route
3503,Scarborough Town Centre,38,Utilized Off Route
3504,Victoria Park stn,24,Late Leaving Garage - Mechanical
3505,Finch and Midland,39,Mechanical
3506,Sunnybrook Hospital,11,Utilized Off Route
3507,Scarborough Town Centre,38,Utilized Off Route
3508,Martingrove and Steeles,927,Utilized Off Route
3509,Scarborugh Town centre,38,Utilized Off Route
3510,Pioneer Village station,6,Mechanical
3511,Markham and Steeles,102,Mechanical
3512,Lower Jarvis St & Queens Quay E,75,Mechanical
3513,Sunnybrook Hospital,11,Utilized Off Route
3514,Steeles Loop,927,Utilized Off Route
3515,Scarborough Town Centre,130,Mechanical
3516,Bathrust Station,7,Utilized Off Route
3517,keele and keelegate,41,Investigation
3518,Plantainway/ Morninside,116,Investigation
3519,Kipling,36,Mechanical
3520,Don Mills Station,85,Mechanical
3521,Castle Frank Station,94,Mechanical
3522,Ossington and Leeds,163,Emergency Services
3523,Davisville Station,11,Utilized Off Route
3524,on Kingston Road at Victoria Park,12,General Delay
3525,Pioneer Village Station,60,Mechanical
3526,renforth station,32,Mechanical
3527,Oakwood Loop,63,Mechanical
3528,Scarborough U of T,95,Utilized Off Route
3529,Finch West Station,36,Mechanical
3530,Sunnybrook Hospital,11,Utilized Off Route
3531,Lawrence Station,124,Utilized Off Route
3532,49 Thorncliff Dr,81,Investigation
3533,Don Mills Station,85,Mechanical
3534,Bathurst and Roselawn,33,Mechanical
3535,Davisville Station,711,Utilized Off Route
3536,on Steeles Ave West at Weston Rd,60,Diversion
3537,Sheppard West Station,106,Utilized Off Route
3538,Neilson & Crowtrail,39,Mechanical
3539,Scarborought town centre,129,Utilized Off Route
3540,Eglinton and Markham,86,Investigation
3541,Dufferin & Bloor,29,Mechanical
3542,Sheppard & Wilson Heights,84,Investigation
3543,Bathurst & Wilson,307,Mechanical
3544,Eglinton Station,332,Emergency Services
3545,Malvern Gate,600,Late Leaving Garage - Vision
3546,Steeles and Markham,600,Late Leaving Garage - Operator
3547,main station,113,Late Leaving Garage - Management
3548,millwood and Overleas,81,Late Leaving Garage - Management
